Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Kayla,2021-08-23 21:14,0:21:41,,New Girl: Season 2: Table 34 (Episode 16),,Apple Apple TV 4 Apple TV,0:21:43,0:21:43,CA (Canada)
Kayla,2021-08-23 20:51,0:22:14,,New Girl: Season 2: Cooler (Episode 15),,Apple Apple TV 4 Apple TV,0:21:55,0:21:55,CA (Canada)
Kayla,2021-08-23 20:29,0:21:53,,New Girl: Season 2: Pepperwood (Episode 14),,Apple Apple TV 4 Apple TV,0:21:55,0:21:55,CA (Canada)
Kayla,2021-08-23 19:51,0:21:54,,New Girl: Season 2: A Father's Love (Episode 13),,Apple Apple TV 4 Apple TV,0:21:56,0:21:56,CA (Canada)
Kayla,2021-08-23 19:26,0:22:44,,New Girl: Season 2: Cabin (Episode 12),,Apple Apple TV 4 Apple TV,0:21:55,0:21:55,CA (Canada)
Kayla,2021-08-23 19:05,0:21:53,,New Girl: Season 2: Santa (Episode 11),,Apple Apple TV 4 Apple TV,0:21:55,0:21:55,CA (Canada)
Kayla,2021-08-23 18:43,0:21:54,,New Girl: Season 2: Bathtub (Episode 10),,Apple Apple TV 4 Apple TV,0:21:55,0:21:55,CA (Canada)
Kayla,2021-08-23 17:48,0:21:01,Autoplayed: user action: None; ,New Girl: Season 2: Eggs (Episode 9),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:08,0:21:08,CA (Canada)
Kayla,2021-08-23 17:26,0:21:40,,New Girl: Season 2: Parents (Episode 8),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:42,0:21:42,CA (Canada)
Kayla,2021-08-23 17:04,0:21:39,,New Girl: Season 2: Menzies (Episode 7),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:40,0:21:40,CA (Canada)
Kayla,2021-08-23 16:51,0:12:56,,New Girl: Season 2: Halloween (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:57,0:21:57,CA (Canada)
Kayla,2021-08-23 15:38,0:09:00,,New Girl: Season 2: Halloween (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,0:09:01,Not latest view,CA (Canada)
Kayla,2021-08-23 15:17,0:21:40,,New Girl: Season 2: Models (Episode 5),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:42,0:21:42,CA (Canada)
Kayla,2021-08-23 14:59,0:13:49,,New Girl: Season 2: Neighbors (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:41,0:21:41,CA (Canada)
Kayla,2021-08-23 14:58,0:01:15,Autoplayed: user action: None; ,Season 1 Trailer: The Chair,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,0:01:15,0:01:15,CA (Canada)
Kayla,2021-08-23 1:53,0:07:50,Autoplayed: user action: None; ,New Girl: Season 2: Neighbors (Episode 4),,Apple Apple TV 4 Apple TV,0:07:52,Not latest view,CA (Canada)
Kayla,2021-08-23 1:31,0:21:52,,New Girl: Season 2: Fluffer (Episode 3),,Apple Apple TV 4 Apple TV,0:21:54,0:21:54,CA (Canada)
Kayla,2021-08-23 1:08,0:21:55,,New Girl: Season 2: Katie (Episode 2),,Apple Apple TV 4 Apple TV,0:21:56,0:21:56,CA (Canada)
